Time,Data1,Data2
0.0,0.0,0.0
0.15,0.86,-3.52
0.3,1.58,-8.6
0.44,-0.04,-5.83
0.58,-2.38,1.73
0.73,-2.45,6.18
0.86,1.12,-1.09
1.0,4.21,-8.33
1.14,3.82,-10.57
1.28,-0.18,-4.04
1.43,-4.57,4.5
1.57,-4.82,8.83
1.72,0.25,1.46
1.86,5.36,-6.23
2.0,6.73,-11.55
2.16,1.44,-4.95
2.3,-4.68,2.93
2.45,-7.49,10.01
2.59,-3.67,7.47
2.74,4.28,-1.55
2.9,8.93,-9.0
3.03,6.55,-8.46
3.17,-1.08,-0.93
3.32,-7.88,6.81
3.47,-8.71,11.55
3.62,-1.44,4.12
3.76,7.02,-4.18
3.9,10.76,-10.45
4.05,6.16,-7.34
4.19,-3.1,0.46
4.33,-10.15,8.09
4.48,-9.72,10.9
4.62,-1.01,2.66
4.77,9.04,-6.04
4.92,12.24,-11.82
5.06,5.72,-5.72
5.2,-4.61,2.53
5.36,-11.99,10.53
5.5,-9.58,11.3
5.63,-0.29,3.72
5.78,9.97,-4.61
5.92,13.64,-10.83
6.06,6.8,-5.43
6.22,-5.65,3.57
6.36,-13.25,10.9
6.51,-11.16,11.82
6.65,-0.22,3.51
6.79,11.09,-5.37
6.94,15.12,-12.24
7.08,7.63,-6.89
7.22,-5.08,1.35
7.37,-14.44,9.93
7.51,-13.39,12.39
7.66,-1.91,4.29
7.81,12.06,-5.99
7.95,17.24,-14.85
8.1,9.32,-10.08
8.24,-4.9,-2.08
8.4,-16.85,9.49
8.54,-15.95,15.46
8.69,-2.3,6.89
8.82,12.53,-4.34
8.96,21.89,-22.03
9.09,16.27,-26.32
9.24,-1.62,-17.93
9.38,-19.87,-1.41
9.52,-27.18,23.58
9.66,-14.65,27.29
9.82,12.2,13.43
9.95,32.04,-15.57
10.1,33.62,-46.19
10.25,8.96,-39.24
10.38,-22.32,-16.87
10.53,-45.29,27.05
10.69,-35.42,52.92
10.85,5.87,36.43
10.99,44.46,-4.17
11.14,59.69,-52.06
11.29,36.4,-57.97
11.42,-9.18,-36.18
11.57,-55.3,12.22
11.71,-72.11,60.28
11.86,-46.91,67.34
12.04,21.13,30.51
12.2,72.97,-26.98
12.35,82.91,-73.14
12.51,47.27,-65.34
12.66,-19.91,-29.67
12.82,-79.6,31.31
12.97,-95.47,74.9
13.1,-74.99,75.45
13.24,-20.92,52.74
13.38,51.77,2.64
13.53,97.45,-50.55
13.67,106.02,-69.73
13.82,77.33,-69.52
13.96,16.56,-56.59
14.1,-63.47,-4.05
14.25,-111.6,49.67
14.39,-126.72,66.35
14.55,-108.58,63.61
14.7,-53.1,59.87
14.75,-24.66,51.62
14.9,62.5,18.68
15.06,121.0,-37.01
15.19,142.13,-56.65
15.35,143.32,-52.54
15.49,118.66,-52.52
15.65,52.49,-47.25
15.81,-42.52,-33.82
15.96,-110.56,14.29
16.11,-146.52,56.32
16.25,-164.77,54.12
16.4,-172.87,49.33
16.53,-175.72,44.91
16.68,-177.95,30.44
16.83,-179.57,12.16
16.98,-180.43,-3.12
17.13,-180.4,-11.89
17.27,-180.18,-17.11
17.41,-179.96,-21.02
17.55,-180.14,-25.23
17.7,-180.04,-26.98
17.83,-180.18,-28.57
17.99,-180.36,-28.78
18.14,-180.65,-27.0
18.29,-180.72,-20.89
18.43,-180.18,-8.76
18.56,-179.53,5.66
18.7,-179.21,18.17
18.85,-178.96,29.64
19.0,-179.35,35.34
19.14,-179.1,43.2
19.3,-179.32,47.11
19.45,-179.28,50.42
19.59,-179.42,51.5
19.72,-179.39,52.65
19.87,-179.24,53.26
20.03,-179.03,52.2
20.18,-178.99,48.4
20.31,-179.03,42.3
20.46,-179.35,32.12
20.62,-179.78,19.24
20.77,-180.22,7.35
20.92,-180.29,-0.91
21.07,-180.18,-5.78
21.22,-179.96,-8.92
21.38,-179.93,-11.86
21.52,-180.04,-14.47
21.67,-180.11,-15.94
21.81,-180.22,-16.17
21.98,-180.5,-14.71
22.13,-180.61,-9.68
22.29,-180.04,2.72
22.45,-179.64,16.02
22.6,-179.14,28.95
22.75,-179.28,36.83
22.89,-179.1,44.38
23.03,-179.32,47.63
23.19,-179.39,50.9
23.33,-179.46,52.78
23.46,-179.42,54.46
23.61,-179.24,55.6
23.76,-179.17,55.02
23.9,-179.14,52.62
24.04,-178.99,48.1
24.19,-179.14,39.9
24.34,-179.64,27.78
24.5,-180.04,15.24
24.67,-180.29,4.53
24.81,-180.18,-1.03
24.96,-180.07,-4.61
25.11,-179.89,-6.76
25.27,-180.0,-9.37
25.43,-180.04,-10.4
25.56,-180.14,-10.78
25.72,-180.43,-9.92
25.87,-180.5,-5.53
26.02,-180.11,3.91
26.17,-178.92,-32.01
26.33,-180.25,-94.23
26.48,-182.02,-152.48
26.63,-185.08,-207.97
26.77,-172.55,-170.68
26.93,-151.92,-128.11
27.08,-114.3,-99.29
27.22,-48.17,-81.91
27.36,40.21,-68.61
27.5,108.68,-54.12
27.64,145.73,-42.23
27.79,158.11,-33.34
27.94,153.5,-28.17
28.09,129.31,-24.96
28.23,73.37,-23.14
28.38,-16.02,-20.68
28.53,-95.15,-20.04
28.69,-138.13,-19.93
28.84,-149.04,-18.83
28.97,-139.61,-17.54
29.12,-103.28,-16.78
29.26,-36.04,-16.65
29.42,59.76,-15.4
29.56,118.55,-14.9
29.61,128.45,-14.64
29.76,143.1,-14.37
29.89,133.67,-14.4
30.05,89.89,-13.91
30.2,10.73,0.16
30.34,-68.54,17.91
30.48,-124.81,68.8
30.64,-155.63,88.3
30.79,-169.45,80.74
30.93,-173.84,83.12
31.08,-176.44,72.84
31.24,-178.45,52.12
31.38,-179.78,31.63
31.54,-180.54,12.02
31.69,-180.79,-0.83
31.83,-180.54,-7.34
31.98,-180.25,-10.56
32.12,-180.25,-12.45
32.27,-180.11,-12.34
32.41,-180.32,-12.03
32.56,-180.43,-9.18
32.72,-180.25,-1.97
32.87,-179.89,7.91
33.02,-179.1,16.76
33.15,-180.61,-4.92
33.31,-180.9,-19.15
33.46,-180.86,-26.42
33.62,-180.58,-28.55
33.76,-180.61,-28.5
33.92,-181.12,-43.82
34.07,-182.74,-72.12
34.22,-182.09,-78.68
34.37,-181.91,-77.56
34.52,-181.51,-67.1
34.67,-180.5,-46.72
34.81,-179.6,-25.23
34.95,-178.02,-4.31
35.11,-181.44,-49.22
35.26,-182.88,-76.62
35.41,-182.48,-83.33
35.56,-182.09,-79.85
35.7,-181.44,-67.16
35.86,-180.18,-43.24
36.01,-179.28,-19.79
36.17,-178.78,1.78
36.31,-180.4,22.3
36.48,-185.98,85.48
36.61,-197.93,125.1
36.76,-238.72,96.52
36.9,-305.75,79.17
37.06,-49.79,64.07
37.2,-116.68,49.22
37.34,-152.24,38.71
37.5,-172.08,31.2
37.64,-182.92,27.25
37.79,-198.22,23.65
37.94,-226.04,21.25
38.08,-277.88,19.51
38.23,-7.6,18.7
38.37,-87.3,17.08
38.52,-138.92,15.49
38.67,-158.26,14.95
38.82,-161.96,14.37
38.96,-153.68,14.18
39.09,-129.35,14.32
39.24,-72.65,13.84
39.39,-342.58,13.47
39.55,-258.7,13.81
39.71,-217.84,13.65
39.85,-207.07,13.35
40.01,-217.37,13.44
40.15,-249.73,12.96
40.29,-314.24,17.27
40.42,-37.19,28.97
40.58,-111.6,73.12
40.74,-151.56,109.14
40.89,-173.12,102.14
41.04,-175.86,155.08
41.2,-175.07,211.09
41.34,-192.24,167.01
41.5,-218.12,126.86
41.65,-273.49,96.61
41.79,-355.46,79.68
41.93,-79.09,63.18
42.07,-130.32,48.53
42.21,-153.72,38.77
42.36,-160.34,31.77
42.52,-151.02,26.84
42.66,-121.18,23.58
42.82,-51.26,20.78
42.96,-324.9,18.46
43.12,-248.9,17.5
43.27,-216.36,16.29
43.42,-209.45,14.98
43.58,-226.91,14.2
43.73,-274.25,13.89
43.88,-357.98,13.83
44.03,-81.97,13.11
44.16,-126.94,12.66
44.31,-143.75,12.8
44.46,-135.54,12.71
44.51,-125.96,12.61
44.67,-73.98,12.16
44.81,-346.72,-8.41
44.97,-265.0,-43.71
45.11,-222.19,-89.48
45.26,-199.12,-93.73
45.4,-188.39,-86.87
45.55,-185.4,-87.74
45.68,-183.02,-71.27
45.82,-180.79,-44.69
45.96,-179.28,-17.74
46.11,-178.42,6.01
46.25,-178.42,19.98
46.4,-178.6,29.79
46.56,-179.39,33.42
46.71,-179.53,37.62
46.85,-179.53,41.85
46.99,-179.5,45.61
47.14,-179.57,48.63
47.27,-179.71,50.74
47.41,-179.42,54.7
47.56,-179.32,57.17
47.71,-179.32,57.84
47.84,-179.14,58.05
47.98,-178.96,56.45
48.13,-178.81,51.88
48.26,-179.17,42.6
48.42,-179.71,29.56
48.56,-180.07,18.68
48.71,-180.18,9.68
48.86,-179.57,3.46
49.01,-182.3,-44.01
49.15,-183.64,-74.15
49.28,-182.81,-81.04
49.43,-182.27,-79.18
49.59,-181.48,-65.4
49.75,-180.22,-41.42
49.91,-179.21,-16.28
50.06,-178.74,3.56
50.21,-178.56,18.14
50.35,-180.43,-8.57
50.5,-182.02,-36.16
50.65,-181.48,-45.41
50.79,-181.12,-47.49
50.95,-181.01,-45.95
51.11,-180.97,-38.97
51.28,-180.29,-22.59
51.43,-179.53,-4.84
51.57,-179.14,10.65
51.72,-178.85,23.73
51.87,-179.06,31.31
52.02,-179.39,36.27
52.16,-179.5,40.65
52.3,-179.21,46.48
52.45,-179.28,48.79
52.6,-179.21,50.52
52.75,-179.1,50.45
52.91,-179.03,48.39
53.05,-178.99,43.44
53.19,-179.24,35.47
53.34,-179.68,24.72
53.49,-180.11,13.63
53.64,-180.25,5.0
53.79,-179.96,0.13
53.94,-179.86,-4.15
54.1,-179.75,-7.71
54.24,-179.89,-11.92
54.4,-179.75,-14.84
54.55,-180.0,-19.07
54.7,-180.11,-21.53
54.85,-180.25,-22.48
55.0,-180.54,-22.14
55.15,-180.72,-18.57
55.29,-180.29,-8.12
55.45,-179.68,6.33
55.61,-179.17,19.47
55.76,-179.28,27.38
55.9,-179.39,31.39
56.03,-179.5,31.64
56.18,-179.53,32.03
56.32,-179.57,32.7
56.48,-179.53,33.42
56.62,-179.28,33.58
56.77,-179.24,30.3
56.92,-179.28,23.97
57.08,-179.96,10.9
57.23,-180.07,1.99
57.38,-180.32,-7.4
57.51,-180.36,-13.68
57.65,-180.18,-17.14
57.79,-180.0,-20.25
57.92,-180.18,-22.74
58.07,-180.25,-23.97
58.21,-180.25,-24.19
58.36,-180.43,-23.65
58.52,-180.65,-20.59
58.66,-180.43,-12.82
58.82,-179.89,-0.11
58.97,-179.57,10.65
59.12,-179.71,17.06
59.28,-179.75,24.45
59.32,-179.75,26.48
59.47,-179.42,34.54
59.62,-179.42,38.95
59.76,-179.68,40.92
59.9,-179.78,42.84
60.04,-179.78,45.18
60.19,-179.5,48.88
60.33,-179.39,50.55
60.49,-179.24,50.49
60.63,-179.14,48.02
60.77,-178.99,43.71
60.92,-179.42,32.65
61.07,-179.96,18.57
61.22,-180.4,6.31
61.36,-180.07,0.43
61.51,-180.29,-7.39
61.66,-180.04,-11.76
61.81,-180.18,-19.05
61.96,-180.61,-26.58
62.1,-180.54,-28.66
62.25,-180.65,-29.53
62.41,-180.72,-27.27
62.55,-180.47,-20.11
62.69,-180.25,-10.73
62.85,-179.6,3.4
63.01,-179.57,13.65
63.17,-179.28,24.1
63.31,-179.39,29.79
63.47,-179.75,33.07
63.62,-179.82,36.55
63.77,-179.68,41.43
63.92,-179.42,46.74
64.06,-179.46,48.61
64.22,-179.28,49.88
64.37,-179.1,48.88
64.51,-178.96,45.7
64.64,-179.17,37.49
64.79,-179.68,24.82
64.95,-180.14,10.9
65.1,-180.58,-0.87
65.24,-180.29,-5.64
65.38,-180.14,-9.87
65.54,-180.04,-13.47
65.69,-180.0,-16.78
65.83,-180.14,-20.49
65.99,-180.22,-23.02
66.14,-180.29,-23.86
66.29,-180.43,-23.33
66.44,-180.65,-21.53
66.59,-180.58,-15.22
66.73,-180.29,-5.56
66.86,-179.68,7.26
67.01,-179.28,18.81
67.15,-179.39,25.19
67.29,-179.6,29.42
67.44,-179.75,33.49
67.58,-179.32,40.36
67.74,-179.42,42.81
67.89,-179.5,43.64
68.04,-179.42,44.04
68.19,-179.21,43.36
68.34,-179.06,39.99
68.49,-179.46,31.28
68.64,-179.71,21.97
68.77,-180.0,12.03
68.91,-180.4,2.08
69.05,-180.18,-2.37
69.2,-180.04,-6.67
69.35,-179.93,-10.85
69.5,-180.25,-17.18
69.65,-180.18,-20.44
69.8,-180.29,-22.54
69.94,-180.32,-23.04
70.08,-180.54,-23.01
70.22,-180.61,-19.37
70.38,-180.4,-11.22
70.53,-179.93,-0.14
70.69,-179.68,10.72
70.83,-179.71,18.54
70.97,-179.35,28.39
71.12,-179.21,35.28
71.27,-179.5,36.9
71.42,-179.64,38.58
71.56,-179.6,40.41
71.71,-179.42,41.82
71.86,-179.32,41.67
72.02,-179.17,38.47
72.17,-179.1,33.37
72.32,-179.46,22.96
72.48,-180.22,6.75
72.62,-180.4,-3.75
72.77,-180.4,-10.86
72.92,-180.25,-15.4
73.06,-180.18,-18.78
73.19,-180.07,-21.37
73.34,-180.25,-24.56
73.49,-180.4,-26.18
73.64,-180.47,-25.99
73.78,-180.61,-23.71
73.94,-180.54,-16.45
74.08,-180.18,-6.55
74.12,-180.07,-3.06
74.27,-179.57,9.81
74.41,-179.28,19.5
74.57,-179.71,24.08
74.73,-179.53,30.94
74.88,-179.6,35.2
75.03,-179.71,38.08
75.18,-179.57,41.24
75.34,-179.5,43.72
75.5,-179.28,44.8
75.65,-179.14,43.93
75.79,-179.14,39.57
75.94,-179.32,31.45
76.09,-179.93,18.6
76.24,-180.04,9.02
76.38,-180.11,0.08
76.53,-180.32,-8.92
76.69,-180.22,-14.37
76.84,-180.25,-19.47
76.99,-180.29,-23.23
77.12,-180.18,-24.79
77.28,-180.25,-26.02
77.42,-180.36,-26.5
77.56,-180.54,-25.84
77.7,-180.61,-22.17
77.85,-180.54,-14.28
77.99,-180.0,-2.5
78.14,-179.64,9.04
78.29,-179.39,19.32
78.45,-179.46,26.6
78.58,-179.42,31.85
78.72,-179.6,34.69
78.86,-179.71,37.25
79.01,-179.75,39.77
79.14,-179.6,43.0
79.3,-179.46,45.5
79.46,-179.35,46.03
79.62,-179.21,44.27
79.77,-179.06,40.5
79.92,-179.32,30.6
80.08,-179.89,16.31
80.23,-180.22,4.69
80.39,-180.32,-4.82
80.54,-180.22,-10.3
80.67,-179.96,-13.27
80.81,-180.18,-18.95
80.97,-180.25,-23.02
81.11,-180.14,-24.13
81.26,-180.14,-25.03
81.4,-180.25,-25.57
81.56,-180.5,-24.9
81.71,-180.58,-21.21
81.86,-180.61,-14.69
82.0,-180.0,-2.11
82.14,-179.53,10.61
82.29,-179.28,20.65
82.46,-179.6,26.18
82.61,-179.75,30.41
82.76,-179.6,35.95
82.9,-179.57,39.93
83.06,-179.6,42.99
83.21,-179.42,45.49
83.37,-179.35,45.68
83.52,-179.32,44.27
83.66,-179.06,41.85
83.79,-179.21,35.18
83.94,-179.71,23.15
