Time,Data1,Data2,Data3
0.01,0.32,0.0,-197.0
0.19,-1.55,-34.62,-136.0
0.37,-1.62,-26.29,-76.0
0.55,2.92,-37.11,-20.0
0.72,5.04,-49.44,0.0
0.9,-1.55,-39.62,0.0
1.08,-7.09,-27.51,0.0
1.26,-3.35,-28.2,0.0
1.43,5.44,-40.98,0.0
1.6,9.14,-53.0,0.0
1.77,0.97,-42.68,0.0
1.94,-8.5,-30.36,0.0
2.11,-9.79,-22.3,0.0
2.28,0.83,-34.24,0.0
2.45,10.69,-47.01,0.0
2.62,9.61,-51.86,0.0
2.8,-3.13,-38.98,0.0
2.97,-14.08,-20.97,0.0
3.14,-11.09,-11.87,0.0
3.31,5.22,-23.89,0.0
3.48,16.92,-36.58,0.0
3.65,11.74,-37.81,0.0
3.82,-6.05,-26.37,0.0
3.99,-19.91,-7.56,0.0
4.16,-14.47,0.32,0.0
4.32,5.29,-10.43,0.0
4.48,21.17,-23.02,0.0
4.65,18.72,-28.05,0.0
4.82,-3.06,-15.83,0.0
5.0,-23.72,5.1,0.0
5.17,-23.44,23.99,0.0
5.34,1.91,12.56,0.0
5.5,26.89,-11.68,0.0
5.66,32.72,-45.23,0.0
5.83,5.33,-36.72,0.0
6.0,-29.45,-6.49,0.0
6.16,-44.24,40.01,0.0
6.32,-20.45,40.01,0.0
6.49,23.15,15.62,0.0
6.65,53.96,-37.41,0.0
6.84,36.14,-54.92,0.0
7.02,-18.94,-27.32,0.0
7.19,-62.93,33.13,0.0
7.35,-59.83,66.28,0.0
7.52,-7.96,49.84,0.0
7.7,56.63,-6.86,0.0
7.87,80.5,-64.97,0.0
8.04,48.78,-61.78,0.0
8.21,-21.92,-24.55,0.0
8.37,-80.64,42.38,0.0
8.53,-91.98,74.34,0.0
8.71,-50.29,63.94,0.0
8.88,31.64,20.94,0.0
9.04,93.6,-46.66,0.0
9.21,108.07,-63.91,0.0
9.39,69.41,-61.61,0.0
9.57,-23.4,-24.32,0.0
9.73,-98.96,43.84,0.0
9.9,-129.38,73.67,0.0
10.07,-121.25,68.99,0.0
10.24,-64.73,66.86,0.0
10.41,30.71,38.44,0.0
10.58,111.13,-22.88,0.0
10.75,144.86,-51.17,0.0
10.92,152.86,-43.48,0.0
11.1,130.03,-43.6,0.0
11.26,71.1,-41.71,0.0
11.42,-26.42,-25.62,0.0
11.6,-111.71,23.34,0.0
11.79,-158.69,59.27,0.0
11.99,-178.31,99.26,0.0
12.17,-184.54,172.37,0.0
12.34,-212.36,171.42,0.0
12.51,-269.75,171.47,0.0
12.68,-13.9,171.44,0.0
12.85,-103.39,171.31,0.0
13.02,-150.8,171.34,0.0
13.19,-169.96,171.34,0.0
13.36,-178.7,171.34,0.0
13.53,-186.01,171.34,0.0
13.7,-199.44,171.34,0.0
13.87,-232.2,171.34,0.0
14.04,-307.51,171.39,0.0
14.22,-56.16,171.29,0.0
14.39,-128.05,171.32,0.0
14.55,-155.74,171.34,0.0
14.72,-162.22,171.34,0.0
14.89,-150.62,171.34,0.0
15.06,-110.66,171.32,0.0
15.23,-22.97,171.29,0.0
15.41,-280.12,171.39,0.0
15.58,-223.99,171.36,0.0
15.74,-207.58,171.36,0.0
15.93,-219.2,171.34,0.0
16.11,-271.87,171.37,0.0
16.29,-10.44,171.34,0.0
16.46,-100.94,171.31,0.0
16.64,-142.49,171.34,0.0
16.82,-143.89,171.34,0.0
16.99,-110.12,171.34,0.0
17.17,-26.14,171.29,0.0
17.35,-280.58,171.37,0.0
17.43,-251.68,171.36,0.0
17.61,-228.02,171.34,0.0
17.79,-262.01,171.36,0.0
17.97,-353.27,171.36,0.0
18.15,-84.24,171.31,0.0
18.32,-126.14,171.34,0.0
18.5,-121.1,171.34,0.0
18.67,-67.93,171.31,0.0
18.84,-332.53,171.36,0.0
19.01,-260.35,171.36,0.0
19.19,-283.86,171.37,0.0
19.37,-341.6,171.37,0.0
19.55,-11.02,171.36,0.0
19.72,-18.43,171.36,0.0
19.9,-8.42,171.36,0.0
20.08,-2.66,171.29,0.0
20.25,-0.86,171.15,0.0
20.42,-0.61,170.57,0.0
20.59,-355.97,148.17,0.0
20.77,-348.73,89.58,0.0
20.96,-359.64,66.81,0.0
21.14,-16.81,76.71,0.0
21.31,-17.06,80.56,0.0
21.48,-358.42,60.84,0.0
21.65,-338.44,23.14,0.0
21.82,-336.6,-16.01,0.0
21.99,-3.28,-5.54,0.0
22.15,-28.91,19.55,0.0
22.33,-32.54,51.96,0.0
22.5,-1.04,35.76,0.0
22.67,-325.15,-5.72,0.0
22.83,-315.43,-53.16,0.0
23.01,-348.88,-44.14,0.0
23.17,-36.36,-2.95,0.0
23.33,-58.21,49.91,0.0
23.49,-37.04,60.07,0.0
23.67,-338.4,28.01,0.0
23.83,-295.38,-30.3,0.0
24.0,-297.94,-66.2,0.0
24.18,-352.26,-48.15,0.0
24.38,-67.43,24.08,0.0
24.55,-83.48,78.56,0.0
24.72,-44.1,64.02,0.0
24.89,-327.67,16.18,0.0
25.05,-273.35,-50.05,0.0
25.23,-268.45,-73.14,0.0
25.4,-319.0,-64.18,0.0
25.56,-40.43,-16.97,0.0
25.74,-102.46,53.96,0.0
25.93,-110.56,66.06,0.0
26.11,-58.86,62.79,0.0
26.29,-320.47,24.47,0.0
26.48,-244.84,-49.89,0.0
26.65,-223.45,-59.46,0.0
26.82,-241.42,-58.13,0.0
27.0,-308.77,-52.02,0.0
27.17,-45.79,-27.49,0.0
27.34,-121.21,40.66,0.0
27.51,-152.39,58.9,0.0
27.68,-163.73,48.42,0.0
27.85,-157.18,44.51,0.0
28.02,-127.12,44.72,0.0
28.19,-52.67,40.52,0.0
28.36,-306.97,32.2,0.0
28.54,-232.96,-24.18,0.0
28.7,-197.96,-48.71,0.0
28.87,-182.3,-85.64,0.0
29.05,-175.79,-162.02,0.0
29.21,-158.98,-199.06,0.0
29.38,-104.72,-147.02,0.0
29.56,-0.68,-109.74,0.0
29.72,-261.54,-81.63,0.0
29.88,-207.43,-60.4,0.0
30.08,-172.91,-43.24,0.0
30.24,-140.29,-34.85,0.0
30.42,-65.05,-29.74,0.0
30.61,52.27,-26.05,0.0
30.78,128.81,-22.88,0.0
30.95,162.43,-20.59,0.0
31.12,178.09,-18.84,0.0
31.3,191.59,-17.66,0.0
31.47,217.08,-16.26,0.0
31.64,276.41,-16.09,0.0
31.8,14.72,-15.53,0.0
31.96,102.71,-14.58,0.0
32.14,147.96,-13.52,0.0
32.31,162.14,-12.83,0.0
32.48,158.0,-12.45,0.0
32.64,134.35,-12.18,0.0
32.81,70.09,-11.34,0.0
32.99,323.82,-10.88,0.0
33.16,243.25,-11.01,0.0
33.32,211.79,-10.67,0.0
33.49,207.9,-10.24,0.0
33.66,231.48,-10.22,0.0
33.85,304.27,-10.9,0.0
34.02,49.86,-10.08,0.0
34.19,121.25,-9.87,0.0
34.38,145.84,-9.69,0.0
34.54,136.44,-9.65,0.0
34.71,88.02,-9.49,0.0
34.77,57.74,-7.05,0.0
34.93,320.0,9.05,0.0
35.1,244.91,63.86,0.0
35.26,205.92,91.07,0.0
35.42,187.52,96.39,0.0
35.59,188.21,157.4,0.0
35.76,185.9,167.75,0.0
35.94,183.6,148.11,0.0
36.1,181.12,111.13,0.0
36.27,179.28,69.6,0.0
36.45,178.63,37.3,0.0
36.61,178.56,15.46,0.0
36.77,178.81,1.59,0.0
36.94,179.21,-7.31,0.0
37.12,179.68,-12.61,0.0
37.29,179.78,-17.69,0.0
37.45,179.6,-22.93,0.0
37.62,179.6,-26.53,0.0
37.8,179.57,-28.68,0.0
37.97,179.35,-29.26,0.0
38.14,179.24,-26.18,0.0
38.3,179.42,-19.18,0.0
38.46,179.78,-9.57,0.0
38.64,180.25,2.36,0.0
38.8,180.22,10.19,0.0
38.97,180.14,17.13,0.0
39.13,180.14,22.82,0.0
39.29,180.14,27.81,0.0
39.46,180.18,32.33,0.0
39.63,180.18,36.56,0.0
39.8,180.14,39.77,0.0
39.97,180.11,41.82,0.0
40.14,180.4,44.64,0.0
40.32,180.76,45.58,0.0
40.49,180.72,40.68,0.0
40.66,180.58,30.79,0.0
40.82,180.36,18.3,0.0
41.0,179.68,1.41,0.0
41.17,179.39,-11.73,0.0
41.34,179.57,-19.82,0.0
41.51,179.78,-25.62,0.0
41.7,179.78,-31.6,0.0
41.87,179.5,-37.52,0.0
42.03,179.32,-40.7,0.0
42.2,179.17,-40.82,0.0
42.37,179.24,-36.21,0.0
42.55,179.28,-27.72,0.0
42.71,179.82,-14.42,0.0
42.87,180.29,-0.87,0.0
43.04,180.79,12.48,0.0
43.22,180.29,17.51,0.0
43.38,180.36,23.28,0.0
43.55,180.11,26.21,0.0
43.73,180.07,29.59,0.0
43.9,180.04,32.09,0.0
44.08,180.29,35.6,0.0
44.26,180.25,36.26,0.0
44.42,180.5,36.71,0.0
44.59,180.83,34.93,0.0
44.76,180.79,27.69,0.0
44.93,180.18,13.46,0.0
45.09,179.68,-0.75,0.0
45.27,179.46,-13.52,0.0
45.46,179.5,-22.25,0.0
45.64,179.68,-27.86,0.0
45.81,179.71,-32.36,0.0
45.99,179.5,-36.79,0.0
46.17,179.42,-38.41,0.0
46.34,179.24,-37.52,0.0
46.51,179.21,-32.08,0.0
46.7,179.57,-20.2,0.0
46.87,180.04,-6.54,0.0
47.03,180.22,4.93,0.0
47.2,180.61,16.82,0.0
47.38,180.25,21.77,0.0
47.55,180.11,26.13,0.0
47.72,180.07,30.3,0.0
47.89,180.04,34.14,0.0
48.05,179.96,37.01,0.0
48.23,180.36,42.17,0.0
48.4,180.47,44.03,0.0
48.57,180.61,43.96,0.0
48.74,180.83,40.98,0.0
48.92,180.79,32.64,0.0
49.08,180.29,18.84,0.0
49.25,179.68,2.47,0.0
49.42,179.53,-10.49,0.0
49.6,179.28,-21.53,0.0
49.77,179.6,-26.68,0.0
49.94,179.53,-32.24,0.0
50.12,179.46,-35.75,0.0
50.3,179.39,-36.4,0.0
50.47,179.14,-34.78,0.0
50.64,179.39,-26.61,0.0
50.82,179.68,-14.84,0.0
51.0,179.96,-2.29,0.0
51.17,180.25,10.48,0.0
51.35,180.5,22.09,0.0
51.52,180.22,27.51,0.0
51.69,180.04,31.68,0.0
51.86,180.36,38.07,0.0
51.92,180.43,39.99,0.0
52.1,180.65,43.32,0.0
52.27,180.61,41.95,0.0
52.43,180.72,38.18,0.0
52.6,180.72,29.75,0.0
52.77,180.11,14.74,0.0
52.95,179.68,-0.08,0.0
53.11,179.35,-12.42,0.0
53.28,179.5,-20.33,0.0
53.45,179.57,-26.39,0.0
53.63,179.53,-30.99,0.0
53.79,179.53,-33.18,0.0
54.08,179.28,-33.21,0.0
54.24,179.14,-29.4,0.0
54.41,179.39,-19.66,0.0
54.59,179.96,-5.77,0.0
54.76,180.36,7.56,0.0
54.94,180.58,18.52,0.0
55.12,180.5,25.2,0.0
55.3,180.5,29.16,0.0
55.47,180.47,30.75,0.0
55.65,180.68,31.05,0.0
55.82,180.58,26.52,0.0
56.0,180.72,19.58,0.0
56.18,179.96,4.21,0.0
56.35,179.75,-7.96,0.0
56.54,179.57,-19.19,0.0
56.71,179.46,-27.13,0.0
56.89,179.57,-31.66,0.0
57.06,179.5,-35.01,0.0
57.25,179.42,-35.83,0.0
57.42,179.14,-34.85,0.0
57.59,179.5,-27.4,0.0
57.75,179.57,-19.23,0.0
57.95,179.78,-6.83,0.0
58.11,180.25,5.34,0.0
58.28,180.47,15.81,0.0
58.45,180.32,21.89,0.0
58.62,180.29,26.69,0.0
58.79,180.4,30.41,0.0
58.97,180.32,31.45,0.0
59.13,180.58,31.68,0.0
59.32,180.58,27.8,0.0
59.5,180.65,20.54,0.0
59.67,180.14,7.74,0.0
59.84,179.78,-4.98,0.0
60.03,179.46,-17.18,0.0
60.2,179.75,-23.55,0.0
60.38,179.6,-31.23,0.0
60.56,179.6,-36.23,0.0
60.74,179.42,-40.25,0.0
60.91,179.14,-41.5,0.0
61.08,179.06,-37.81,0.0
61.27,179.39,-26.63,0.0
61.44,179.89,-12.14,0.0
61.62,180.25,2.85,0.0
61.8,180.5,14.68,0.0
61.96,180.22,20.73,0.0
62.13,180.22,27.08,0.0
62.3,180.22,32.59,0.0
62.47,180.32,36.61,0.0
62.65,180.4,38.55,0.0
62.82,180.54,38.71,0.0
62.99,180.54,35.25,0.0
63.16,180.61,28.7,0.0
63.35,180.07,15.41,0.0
63.51,179.86,4.34,0.0
63.68,179.46,-7.75,0.0
63.85,179.75,-14.36,0.0
64.02,179.78,-20.68,0.0
64.2,179.68,-27.08,0.0
64.36,179.71,-31.66,0.0
64.53,179.32,-37.49,0.0
64.7,179.42,-38.31,0.0
64.87,179.28,-37.99,0.0
65.05,179.35,-33.52,0.0
65.22,179.32,-26.31,0.0
65.39,179.86,-13.15,0.0
65.55,180.29,-0.45,0.0
65.73,180.61,11.66,0.0
65.9,180.32,17.67,0.0
66.07,180.22,22.61,0.0
66.25,180.36,26.98,0.0
66.42,180.29,28.31,0.0
66.59,180.47,29.0,0.0
66.75,180.61,27.32,0.0
66.92,180.68,22.37,0.0
67.09,180.32,12.14,0.0
67.27,179.96,-0.1,0.0
67.44,179.68,-11.62,0.0
67.6,179.64,-20.14,0.0
67.77,179.5,-27.56,0.0
67.95,179.71,-31.16,0.0
68.12,179.42,-35.57,0.0
68.28,179.46,-36.1,0.0
68.44,179.28,-35.07,0.0
68.62,179.39,-29.37,0.0
68.79,179.75,-19.4,0.0
68.95,179.89,-9.28,0.0
69.11,180.14,1.92,0.0
69.27,180.47,12.22,0.0
69.34,180.58,15.99,0.0
69.52,180.36,21.33,0.0
69.69,180.43,25.07,0.0
69.87,180.32,26.07,0.0
70.05,180.4,25.81,0.0
70.22,180.4,23.54,0.0
70.39,180.36,18.75,0.0
70.58,180.25,11.12,0.0
70.75,180.07,1.92,0.0
70.95,179.82,-10.06,0.0
71.14,179.64,-19.85,0.0
71.31,179.82,-25.97,0.0
71.49,179.71,-32.49,0.0
71.68,179.46,-38.65,0.0
71.84,179.32,-41.58,0.0
72.01,179.21,-41.34,0.0
72.18,179.14,-37.19,0.0
72.36,179.53,-26.64,0.0
72.53,179.96,-13.55,0.0
72.69,180.4,-1.06,0.0
72.87,180.4,9.0,0.0
73.03,180.11,13.94,0.0
73.21,180.14,20.16,0.0
73.38,180.11,25.09,0.0
73.55,179.93,28.65,0.0
73.72,180.04,33.36,0.0
73.9,180.43,39.05,0.0
74.07,180.29,40.25,0.0
74.24,180.58,41.35,0.0
74.41,180.68,38.97,0.0
74.57,180.86,33.45,0.0
74.75,180.36,19.77,0.0
74.92,179.75,3.78,0.0
75.08,179.24,-10.14,0.0
75.25,179.46,-17.9,0.0
75.43,179.6,-23.44,0.0
75.6,179.6,-27.57,0.0
75.77,179.6,-30.25,0.0
75.94,179.46,-31.34,0.0
76.12,179.28,-30.15,0.0
76.29,179.28,-24.51,0.0
76.47,179.64,-13.11,0.0
76.64,180.14,0.3,0.0
76.82,180.32,11.74,0.0
76.99,180.32,19.92,0.0
77.17,180.22,25.91,0.0
77.34,180.04,29.91,0.0
77.52,180.07,34.67,0.0
77.7,180.22,39.38,0.0
77.86,180.07,41.4,0.0
78.04,180.61,45.39,0.0
78.23,180.76,44.21,0.0
78.4,180.9,38.6,0.0
78.56,180.43,26.61,0.0
78.74,179.86,10.7,0.0
78.93,179.64,-2.69,0.0
79.11,179.64,-13.15,0.0
