Time,Data1,Data2
0.01,0.04,0.0
0.15,-0.18,0.26
0.3,-0.32,0.8
0.46,-0.04,-0.19
0.61,1.08,-6.12
0.76,0.94,-9.74
0.9,-1.84,-2.79
1.04,-3.71,5.34
1.18,-1.94,5.29
1.32,2.66,-3.28
1.45,5.18,-10.43
1.6,3.13,-10.41
1.73,-2.05,-3.09
1.88,-6.66,6.04
2.03,-5.29,7.72
2.17,1.48,-1.95
2.31,6.66,-9.82
2.46,7.16,-15.03
2.61,0.25,-6.34
2.75,-6.84,2.34
2.88,-9.47,9.58
3.03,-4.46,6.17
3.16,3.56,-1.78
3.3,9.76,-9.81
3.43,8.96,-12.5
3.58,0.47,-3.88
3.72,-8.39,4.77
3.86,-11.7,11.76
4.01,-5.26,6.87
4.17,5.87,-2.92
4.31,12.06,-10.81
4.45,9.0,-10.73
4.59,-0.5,-3.25
4.73,-10.44,5.14
4.88,-13.5,12.4
5.03,-4.64,4.73
5.17,6.26,-3.77
5.31,13.68,-11.55
5.44,11.48,-12.03
5.59,0.47,-3.77
5.72,-10.22,4.2
5.86,-15.23,11.89
5.99,-9.29,7.64
6.15,4.68,-2.74
6.31,14.83,-12.34
6.46,12.38,-13.54
6.61,-0.22,-4.5
6.75,-12.82,5.16
6.91,-16.92,14.79
7.07,-5.47,5.77
7.21,9.25,-4.41
7.35,18.25,-16.76
7.49,14.69,-19.4
7.63,-0.18,-11.04
7.77,-14.72,0.14
7.91,-22.64,20.48
8.06,-13.14,23.36
8.21,8.82,11.5
8.37,27.07,-16.95
8.52,25.63,-42.44
8.67,2.2,-33.53
8.82,-26.64,-4.57
8.96,-40.86,38.28
9.09,-29.59,58.32
9.24,6.12,42.27
9.38,41.51,0.42
9.52,54.5,-46.42
9.66,32.11,-53.51
9.8,-11.84,-30.01
9.94,-52.6,18.28
10.08,-68.83,69.76
10.24,-42.3,75.27
10.39,15.7,40.15
10.54,65.84,-16.66
10.68,80.93,-66.56
10.84,51.8,-64.63
10.99,-12.53,-27.17
11.14,-71.68,34.34
11.27,-92.77,83.27
11.42,-79.06,86.92
11.56,-30.49,63.58
11.69,35.89,16.94
11.84,89.28,-42.83
11.98,103.21,-75.56
12.12,81.4,-75.32
12.27,18.58,-54.41
