0,130,260,0.000000
1,130,1272,0.000000
2,130,2324,0.000000
3,130,3376,0.000000
4,130,10500,0.000236
5,130,21420,0.000930
6,130,32340,0.002052
7,130,43260,0.003411
8,130,54180,0.005020
9,130,65100,0.006822
10,130,76540,0.008918
11,130,87980,0.011089
12,130,99420,0.013378
13,130,110872,0.015888
14,130,122820,0.018472
15,130,134780,0.021100
16,130,146752,0.023802
17,130,158720,0.026519
18,130,170660,0.029250
19,130,182620,0.032026
20,130,194596,0.034876
21,130,206544,0.037770
22,130,218512,0.040708
23,130,230460,0.043662
24,130,242436,0.046615
25,130,254380,0.049597
26,130,266340,0.052580
27,130,278300,0.055577
28,130,290272,0.058575
29,130,302228,0.061587
30,130,314180,0.064555
31,130,326156,0.067537
32,130,338100,0.070549
33,130,350072,0.073606
34,130,362020,0.076692
35,130,373992,0.079793
36,130,385940,0.082864
37,130,397916,0.085920
38,130,409864,0.088977
39,130,421824,0.092063
40,130,433780,0.095149
41,130,445740,0.098235
42,130,457700,0.101291
43,130,469672,0.104362
44,130,481620,0.107434
45,130,493592,0.110549
46,130,505548,0.113665
47,130,517516,0.116810
48,130,529460,0.119925
49,130,541436,0.123011
50,130,553380,0.126082
51,130,565340,0.129168
52,130,577300,0.132240
53,130,589276,0.135311
54,130,601224,0.138412
55,130,613196,0.141527
56,130,625148,0.144613
57,130,637112,0.147714
58,130,649060,0.150844
59,130,661032,0.153975
60,130,672992,0.157105
61,130,684952,0.160206
62,130,696900,0.163306
63,130,708876,0.166392
64,130,720832,0.169463
65,130,732780,0.172564
66,130,744752,0.175665
67,130,756700,0.178810
68,130,768660,0.181940
69,130,780624,0.185056
70,130,792592,0.188171
71,130,804556,0.191302
72,130,816500,0.194417
73,130,828468,0.197488
74,130,840428,0.200619
75,130,852380,0.203705
76,130,864340,0.206776
77,130,876300,0.209862
78,130,888260,0.212963
79,130,900232,0.216078
80,130,912184,0.219238
81,130,924140,0.222353
82,130,936100,0.225439
83,130,948060,0.228525
84,130,960020,0.231626
85,130,971992,0.234712
86,130,983940,0.237798
87,130,995900,0.240884
